PID                 PPID                COMMAND             COMMAND
55457               55416               docker-init         /sbin/docker-init -- /usr/local/bin/serve-glm53-flash.sh
55540               55457               bash                bash /usr/local/libexec/serve-glm53-flash-lmcache-cache-complete.sh
56390               55540               lmcache             /opt/venv/bin/python /opt/venv/bin/lmcache server --instance-id glm53-glm53-r18-cache-v1-tp4-dcp4-nvfp4_ds_mla --host 127.0.0.1 --port 5555 --chunk-size 4096 --max-workers 8 --max-gpu-workers 8 --max-cpu-workers 16 --hash-algorithm blake3 --supported-transfer-mode engine_driven --separate-object-groups --l1-size-gb 64 --l1-init-size-gb 2 --eviction-policy LRU --http-host 127.0.0.1 --http-port 8085 --prometheus-port 9095 --no-l1-use-lazy --shm-name lmcache-glm53-glm53-r18-cache-v1-tp4-dcp4-nvfp4_ds_mla-5555 --l2-adapter {"type":"fs_native","base_path":"/lmcache-l2/glm53-r18-cache-v1/_model-huggingface-main/kv-nvfp4_ds_mla/tp-4-dcp-4-i-4-g-1/spec-dflash2-7-draft-huggingface-main/chunk-4096","num_workers":8,"use_odirect":false,"max_capacity_gb":512,"eviction":{"eviction_policy":"LRU","trigger_watermark":0.8,"eviction_ratio":0.2}}
57866               56390               python              /opt/venv/bin/python -c from multiprocessing.resource_tracker import main;main(18)
58309               55540               vllm                /opt/venv/bin/python /opt/venv/bin/vllm serve /model --served-model-name GLM-5.3-Flash-NVFP4 --host 0.0.0.0 --port 5001 --tensor-parallel-size 4 --pipeline-parallel-size 1 --decode-context-parallel-size 4 --cp-kv-cache-interleave-size 4 --dcp-kv-cache-interleave-size 4 --max-num-seqs 32 --max-model-len 1048576 --max-num-batched-tokens 4320 --prefill-schedule-interval 1 --max-cudagraph-capture-size 256 --gpu-memory-utilization 0.95 --mamba-cache-mode align --enable-chunked-prefill --dtype bfloat16 --kv-cache-dtype nvfp4_ds_mla --quantization modelopt_mixed --block-size 256 --load-format instanttensor --attention-backend B12X --moe-backend b12x --linear-backend b12x --no-enable-flashinfer-autotune --enable-auto-tool-choice --tool-call-parser glm47 --reasoning-parser glm45 --additional-config {"glm53_kda_decode_backend":"auto","kda_prefill_backend":"flashkda"} --compilation-config {"cudagraph_mode":"FULL_AND_PIECEWISE"} --enable-prefix-caching --speculative-config {"method":"dflash","model":"/draft-mxfp8","num_speculative_tokens":7,"draft_sample_method":"probabilistic","rejection_sample_method":"standard","kv_cache_dtype":"auto","attention_backend":"FLASH_ATTN"} --max-num-scheduled-tokens 4096 --prefix-cache-retention-interval 4096 --kv-transfer-config {"kv_connector":"LMCacheMPConnector","kv_connector_module_path":"lmcache.integration.vllm.lmcache_mp_connector","kv_role":"kv_both","kv_connector_extra_config":{"lmcache.mp.host":"127.0.0.1","lmcache.mp.port":5555,"lmcache.mp.mp_transfer_mode":"engine_driven"}} --fairness-engine compute_share --prefill-compute-share 0.4 --cudagraph-capture-sizes 1 2 4 8 16 32 40 48 64 96 128 192 256
63951               58309               python              /opt/venv/bin/python -c from multiprocessing.resource_tracker import main;main(70)
63952               58309               VLLM::EngineCor     VLLM::EngineCore
66345               63952               VLLM::Worker_TP     VLLM::Worker_TP0_DCP0
66346               63952               VLLM::Worker_TP     VLLM::Worker_TP1_DCP1
66347               63952               VLLM::Worker_TP     VLLM::Worker_TP2_DCP2
66348               63952               VLLM::Worker_TP     VLLM::Worker_TP3_DCP3
